Дата,Значение
18/09/18 - Открытие,109220.0000000
18/09/18 - Открытие,109180.0000000
18/09/18 - Открытие,109180.0000000
18/09/18 - Открытие,109130.0000000
18/09/18 - Открытие,109200.0000000
18/09/18 - Открытие,109180.0000000
18/09/18 - Открытие,109150.0000000
18/09/18 - Открытие,109180.0000000
18/09/18 - Открытие,109240.0000000
18/09/18 - Открытие,109220.0000000
18/09/18 - Открытие,109180.0000000
18/09/18 - Открытие,109130.0000000
18/09/18 - Открытие,109140.0000000
18/09/18 - Открытие,109160.0000000
18/09/18 - Открытие,109120.0000000
18/09/18 - Открытие,109170.0000000
18/09/18 - Открытие,109150.0000000
18/09/18 - Открытие,109190.0000000
18/09/18 - Открытие,109160.0000000
18/09/18 - Открытие,109210.0000000
18/09/18 - Открытие,109270.0000000
18/09/18 - Открытие,109210.0000000
18/09/18 - Открытие,109240.0000000
18/09/18 - Открытие,109300.0000000
18/09/18 - Открытие,109260.0000000
18/09/18 - Открытие,109260.0000000
18/09/18 - Открытие,109340.0000000
18/09/18 - Открытие,109280.0000000
18/09/18 - Открытие,109260.0000000
18/09/18 - Открытие,109270.0000000
18/09/18 - Открытие,109250.0000000
18/09/18 - Открытие,109230.0000000
18/09/18 - Открытие,109280.0000000
18/09/18 - Открытие,109270.0000000
18/09/18 - Открытие,109290.0000000
18/09/18 - Открытие,109250.0000000
18/09/18 - Открытие,109180.0000000
18/09/18 - Открытие,109220.0000000
18/09/18 - Открытие,109340.0000000
18/09/18 - Открытие,109390.0000000
18/09/18 - Открытие,109390.0000000
18/09/18 - Открытие,109350.0000000
18/09/18 - Открытие,109390.0000000
18/09/18 - Открытие,109420.0000000
18/09/18 - Открытие,109420.0000000
18/09/18 - Открытие,109400.0000000
18/09/18 - Открытие,109420.0000000
18/09/18 - Открытие,109370.0000000
18/09/18 - Открытие,109430.0000000
18/09/18 - Открытие,109490.0000000
18/09/18 - Открытие,109450.0000000
18/09/18 - Открытие,109420.0000000
18/09/18 - Открытие,109430.0000000
18/09/18 - Открытие,109470.0000000
18/09/18 - Открытие,109470.0000000
18/09/18 - Открытие,109420.0000000
18/09/18 - Открытие,109380.0000000
18/09/18 - Открытие,109340.0000000
18/09/18 - Открытие,109380.0000000
18/09/18 - Открытие,109480.0000000
18/09/18 - Открытие,109500.0000000
18/09/18 - Открытие,109480.0000000
18/09/18 - Открытие,109560.0000000
18/09/18 - Открытие,109520.0000000
18/09/18 - Открытие,109580.0000000
18/09/18 - Открытие,109590.0000000
18/09/18 - Открытие,109600.0000000
18/09/18 - Открытие,109610.0000000
18/09/18 - Открытие,109650.0000000
18/09/18 - Открытие,109670.0000000
18/09/18 - Открытие,109680.0000000
18/09/18 - Открытие,109710.0000000
18/09/18 - Открытие,109670.0000000
18/09/18 - Открытие,109720.0000000
18/09/18 - Открытие,109730.0000000
18/09/18 - Открытие,109690.0000000
18/09/18 - Открытие,109680.0000000
18/09/18 - Открытие,109670.0000000
18/09/18 - Открытие,109610.0000000
18/09/18 - Открытие,109620.0000000
18/09/18 - Открытие,109570.0000000
18/09/18 - Открытие,109560.0000000
18/09/18 - Открытие,109560.0000000
18/09/18 - Открытие,109580.0000000
18/09/18 - Открытие,109580.0000000
18/09/18 - Открытие,109570.0000000
18/09/18 - Открытие,109540.0000000
18/09/18 - Открытие,109590.0000000
18/09/18 - Открытие,109610.0000000
18/09/18 - Открытие,109580.0000000
18/09/18 - Открытие,109570.0000000
18/09/18 - Открытие,109570.0000000
18/09/18 - Открытие,109520.0000000
18/09/18 - Открытие,109510.0000000
18/09/18 - Открытие,109440.0000000
18/09/18 - Открытие,109470.0000000
18/09/18 - Открытие,109470.0000000
18/09/18 - Открытие,109410.0000000
18/09/18 - Открытие,109320.0000000
18/09/18 - Открытие,109370.0000000
18/09/18 - Открытие,109400.0000000
18/09/18 - Открытие,109370.0000000
18/09/18 - Открытие,109410.0000000
18/09/18 - Открытие,109460.0000000
18/09/18 - Открытие,109500.0000000
18/09/18 - Открытие,109510.0000000
18/09/18 - Открытие,109550.0000000
18/09/18 - Открытие,109520.0000000
18/09/18 - Открытие,109560.0000000
18/09/18 - Открытие,109630.0000000
18/09/18 - Открытие,109620.0000000
18/09/18 - Открытие,109590.0000000
18/09/18 - Открытие,109570.0000000
18/09/18 - Открытие,109550.0000000
18/09/18 - Открытие,109560.0000000
18/09/18 - Открытие,109580.0000000
18/09/18 - Открытие,109570.0000000
18/09/18 - Открытие,109560.0000000
18/09/18 - Открытие,109470.0000000
18/09/18 - Открытие,109460.0000000
18/09/18 - Открытие,109520.0000000
18/09/18 - Открытие,109530.0000000
18/09/18 - Открытие,109470.0000000
18/09/18 - Открытие,109500.0000000
18/09/18 - Открытие,109520.0000000
18/09/18 - Открытие,109470.0000000
18/09/18 - Открытие,109450.0000000
18/09/18 - Открытие,109480.0000000
18/09/18 - Открытие,109440.0000000
18/09/18 - Открытие,109480.0000000
18/09/18 - Открытие,109440.0000000
18/09/18 - Открытие,109420.0000000
18/09/18 - Открытие,109460.0000000
18/09/18 - Открытие,109490.0000000
18/09/18 - Открытие,109440.0000000
18/09/18 - Открытие,109450.0000000
18/09/18 - Открытие,109460.0000000
18/09/18 - Открытие,109430.0000000
18/09/18 - Открытие,109490.0000000
18/09/18 - Открытие,109510.0000000
18/09/18 - Открытие,109510.0000000
18/09/18 - Открытие,109520.0000000
18/09/18 - Открытие,109510.0000000
18/09/18 - Открытие,109500.0000000
18/09/18 - Открытие,109520.0000000
18/09/18 - Открытие,109530.0000000
18/09/18 - Открытие,109540.0000000
18/09/18 - Открытие,109560.0000000
18/09/18 - Открытие,109550.0000000
18/09/18 - Открытие,109570.0000000
18/09/18 - Открытие,109570.0000000
18/09/18 - Открытие,109560.0000000
18/09/18 - Открытие,109550.0000000
18/09/18 - Открытие,109570.0000000
18/09/18 - Открытие,109570.0000000
18/09/18 - Открытие,109590.0000000
18/09/18 - Открытие,109580.0000000
18/09/18 - Открытие,109610.0000000
18/09/18 - Открытие,109610.0000000
18/09/18 - Открытие,109600.0000000
18/09/18 - Открытие,109600.0000000
18/09/18 - Открытие,109640.0000000
18/09/18 - Открытие,109620.0000000
18/09/18 - Открытие,109630.0000000
18/09/18 - Открытие,109680.0000000
18/09/18 - Открытие,109730.0000000
18/09/18 - Открытие,109670.0000000
18/09/18 - Открытие,109650.0000000
18/09/18 - Открытие,109710.0000000
18/09/18 - Открытие,109790.0000000
18/09/18 - Открытие,109750.0000000
18/09/18 - Открытие,109740.0000000
18/09/18 - Открытие,109740.0000000
18/09/18 - Открытие,109740.0000000
18/09/18 - Открытие,109760.0000000
18/09/18 - Открытие,109810.0000000
18/09/18 - Открытие,109830.0000000
18/09/18 - Открытие,109890.0000000
18/09/18 - Открытие,109900.0000000
18/09/18 - Открытие,109880.0000000
18/09/18 - Открытие,109880.0000000
18/09/18 - Открытие,109920.0000000
18/09/18 - Открытие,109880.0000000
18/09/18 - Открытие,109880.0000000
18/09/18 - Открытие,109880.0000000
18/09/18 - Открытие,109850.0000000
18/09/18 - Открытие,109840.0000000
18/09/18 - Открытие,109900.0000000
18/09/18 - Открытие,109910.0000000
18/09/18 - Открытие,109910.0000000
18/09/18 - Открытие,109870.0000000
18/09/18 - Открытие,109870.0000000
18/09/18 - Открытие,109840.0000000
18/09/18 - Открытие,109870.0000000
18/09/18 - Открытие,109890.0000000
18/09/18 - Открытие,109870.0000000
18/09/18 - Открытие,109950.0000000
18/09/18 - Открытие,109880.0000000
18/09/18 - Открытие,109850.0000000
18/09/18 - Открытие,109800.0000000
18/09/18 - Открытие,109830.0000000
18/09/18 - Открытие,109850.0000000
18/09/18 - Открытие,109810.0000000
18/09/18 - Открытие,109800.0000000
18/09/18 - Открытие,109810.0000000
18/09/18 - Открытие,109800.0000000
18/09/18 - Открытие,109800.0000000
18/09/18 - Открытие,109810.0000000
18/09/18 - Открытие,109820.0000000
18/09/18 - Открытие,109820.0000000
18/09/18 - Открытие,109810.0000000
18/09/18 - Открытие,109820.0000000
18/09/18 - Открытие,109820.0000000
18/09/18 - Открытие,109760.0000000
18/09/18 - Открытие,109820.0000000
18/09/18 - Открытие,109790.0000000
18/09/18 - Открытие,109780.0000000
18/09/18 - Открытие,109790.0000000
18/09/18 - Открытие,109790.0000000
18/09/18 - Открытие,109780.0000000
18/09/18 - Открытие,109710.0000000
18/09/18 - Открытие,109740.0000000
18/09/18 - Открытие,109740.0000000
18/09/18 - Открытие,109760.0000000
18/09/18 - Открытие,109740.0000000
18/09/18 - Открытие,109730.0000000
18/09/18 - Открытие,109740.0000000
18/09/18 - Открытие,109740.0000000
18/09/18 - Открытие,109770.0000000
18/09/18 - Открытие,109830.0000000
18/09/18 - Открытие,109820.0000000
18/09/18 - Открытие,109840.0000000
18/09/18 - Открытие,109830.0000000
18/09/18 - Открытие,109870.0000000
18/09/18 - Открытие,109880.0000000
18/09/18 - Открытие,109870.0000000
18/09/18 - Открытие,109850.0000000
18/09/18 - Открытие,109810.0000000
18/09/18 - Открытие,109820.0000000
18/09/18 - Открытие,109850.0000000
18/09/18 - Открытие,109860.0000000
18/09/18 - Открытие,109830.0000000
18/09/18 - Открытие,109850.0000000
18/09/18 - Открытие,109810.0000000
18/09/18 - Открытие,109790.0000000
18/09/18 - Открытие,109780.0000000
18/09/18 - Открытие,109810.0000000
18/09/18 - Открытие,109810.0000000
18/09/18 - Открытие,109860.0000000
18/09/18 - Открытие,109840.0000000
18/09/18 - Открытие,109830.0000000
18/09/18 - Открытие,109870.0000000
18/09/18 - Открытие,109820.0000000
18/09/18 - Открытие,109870.0000000
18/09/18 - Открытие,109860.0000000
18/09/18 - Открытие,109850.0000000
18/09/18 - Открытие,109860.0000000
18/09/18 - Открытие,109860.0000000
18/09/18 - Открытие,109850.0000000
18/09/18 - Открытие,109860.0000000
18/09/18 - Открытие,109880.0000000
18/09/18 - Открытие,109830.0000000
18/09/18 - Открытие,109870.0000000
18/09/18 - Открытие,109870.0000000
18/09/18 - Открытие,109930.0000000
18/09/18 - Открытие,109920.0000000
18/09/18 - Открытие,109900.0000000
18/09/18 - Открытие,109930.0000000
18/09/18 - Открытие,109910.0000000
18/09/18 - Открытие,109940.0000000
18/09/18 - Открытие,109970.0000000
18/09/18 - Открытие,109970.0000000
18/09/18 - Открытие,109990.0000000
18/09/18 - Открытие,110000.0000000
18/09/18 - Открытие,109990.0000000
18/09/18 - Открытие,110040.0000000
18/09/18 - Открытие,110060.0000000
18/09/18 - Открытие,110070.0000000
18/09/18 - Открытие,110100.0000000
18/09/18 - Открытие,110160.0000000
18/09/18 - Открытие,110170.0000000
18/09/18 - Открытие,110160.0000000
18/09/18 - Открытие,110220.0000000
18/09/18 - Открытие,110180.0000000
18/09/18 - Открытие,110280.0000000
18/09/18 - Открытие,110220.0000000
18/09/18 - Открытие,110220.0000000
18/09/18 - Открытие,110210.0000000
18/09/18 - Открытие,110200.0000000
18/09/18 - Открытие,110190.0000000
18/09/18 - Открытие,110200.0000000
18/09/18 - Открытие,110220.0000000
18/09/18 - Открытие,110220.0000000
18/09/18 - Открытие,110240.0000000
18/09/18 - Открытие,110230.0000000
18/09/18 - Открытие,110180.0000000
18/09/18 - Открытие,110130.0000000
18/09/18 - Открытие,110140.0000000
18/09/18 - Открытие,110110.0000000
18/09/18 - Открытие,110040.0000000
18/09/18 - Открытие,110040.0000000
18/09/18 - Открытие,110040.0000000
18/09/18 - Открытие,110050.0000000
18/09/18 - Открытие,109980.0000000
18/09/18 - Открытие,110010.0000000
18/09/18 - Открытие,109970.0000000
18/09/18 - Открытие,110030.0000000
18/09/18 - Открытие,110070.0000000
18/09/18 - Открытие,110030.0000000
18/09/18 - Открытие,109980.0000000
18/09/18 - Открытие,109990.0000000
18/09/18 - Открытие,110010.0000000
18/09/18 - Открытие,109970.0000000
18/09/18 - Открытие,110000.0000000
18/09/18 - Открытие,110030.0000000
18/09/18 - Открытие,110060.0000000
18/09/18 - Открытие,110080.0000000
18/09/18 - Открытие,109990.0000000
18/09/18 - Открытие,109940.0000000
18/09/18 - Открытие,109970.0000000
18/09/18 - Открытие,109980.0000000
18/09/18 - Открытие,110030.0000000
18/09/18 - Открытие,110000.0000000
18/09/18 - Открытие,110010.0000000
18/09/18 - Открытие,110060.0000000
18/09/18 - Открытие,110070.0000000
18/09/18 - Открытие,110070.0000000
18/09/18 - Открытие,110100.0000000
18/09/18 - Открытие,110090.0000000
18/09/18 - Открытие,110070.0000000
18/09/18 - Открытие,110020.0000000
18/09/18 - Открытие,110150.0000000
18/09/18 - Открытие,110150.0000000
18/09/18 - Открытие,110200.0000000
18/09/18 - Открытие,110160.0000000
18/09/18 - Открытие,110200.0000000
18/09/18 - Открытие,110200.0000000
18/09/18 - Открытие,110210.0000000
18/09/18 - Открытие,110190.0000000
18/09/18 - Открытие,110190.0000000
18/09/18 - Открытие,110260.0000000
18/09/18 - Открытие,110260.0000000
18/09/18 - Открытие,110220.0000000
18/09/18 - Открытие,110230.0000000
18/09/18 - Открытие,110280.0000000
18/09/18 - Открытие,110260.0000000
18/09/18 - Открытие,110250.0000000
18/09/18 - Открытие,110300.0000000
18/09/18 - Открытие,110320.0000000
18/09/18 - Открытие,110320.0000000
18/09/18 - Открытие,110290.0000000
18/09/18 - Открытие,110290.0000000
18/09/18 - Открытие,110240.0000000
18/09/18 - Открытие,110190.0000000
18/09/18 - Открытие,110200.0000000
18/09/18 - Открытие,110170.0000000
18/09/18 - Открытие,110180.0000000
18/09/18 - Открытие,110180.0000000
18/09/18 - Открытие,110180.0000000
18/09/18 - Открытие,110150.0000000
18/09/18 - Открытие,110100.0000000
18/09/18 - Открытие,110100.0000000
18/09/18 - Открытие,110070.0000000
18/09/18 - Открытие,110080.0000000
18/09/18 - Открытие,110160.0000000
18/09/18 - Открытие,110190.0000000
18/09/18 - Открытие,110200.0000000
18/09/18 - Открытие,110270.0000000
18/09/18 - Открытие,110260.0000000
18/09/18 - Открытие,110230.0000000
18/09/18 - Открытие,110250.0000000
18/09/18 - Открытие,110290.0000000
18/09/18 - Открытие,110310.0000000
18/09/18 - Открытие,110360.0000000
18/09/18 - Открытие,110320.0000000
18/09/18 - Открытие,110320.0000000
18/09/18 - Открытие,110320.0000000
18/09/18 - Открытие,110340.0000000
18/09/18 - Открытие,110320.0000000
18/09/18 - Открытие,110290.0000000
18/09/18 - Открытие,110300.0000000
18/09/18 - Открытие,110350.0000000
18/09/18 - Открытие,110350.0000000
18/09/18 - Открытие,110330.0000000
18/09/18 - Открытие,110330.0000000
18/09/18 - Открытие,110300.0000000
18/09/18 - Открытие,110300.0000000
18/09/18 - Открытие,110310.0000000
18/09/18 - Открытие,110300.0000000
18/09/18 - Открытие,110280.0000000
18/09/18 - Открытие,110270.0000000
18/09/18 - Открытие,110310.0000000
18/09/18 - Открытие,110340.0000000
18/09/18 - Открытие,110300.0000000
18/09/18 - Открытие,110330.0000000
18/09/18 - Открытие,110370.0000000
18/09/18 - Открытие,110350.0000000
18/09/18 - Открытие,110390.0000000
18/09/18 - Открытие,110400.0000000
18/09/18 - Открытие,110370.0000000
18/09/18 - Открытие,110360.0000000
18/09/18 - Открытие,110360.0000000
18/09/18 - Открытие,110360.0000000
18/09/18 - Открытие,110330.0000000
18/09/18 - Открытие,110330.0000000
18/09/18 - Открытие,110280.0000000
18/09/18 - Открытие,110300.0000000
18/09/18 - Открытие,110340.0000000
18/09/18 - Открытие,110350.0000000
18/09/18 - Открытие,110350.0000000
18/09/18 - Открытие,110360.0000000
18/09/18 - Открытие,110430.0000000
18/09/18 - Открытие,110440.0000000
18/09/18 - Открытие,110440.0000000
18/09/18 - Открытие,110410.0000000
18/09/18 - Открытие,110380.0000000
18/09/18 - Открытие,110370.0000000
18/09/18 - Открытие,110370.0000000
18/09/18 - Открытие,110330.0000000
18/09/18 - Открытие,110310.0000000
18/09/18 - Открытие,110330.0000000
18/09/18 - Открытие,110250.0000000
18/09/18 - Открытие,110280.0000000
18/09/18 - Открытие,110320.0000000
18/09/18 - Открытие,110340.0000000
18/09/18 - Открытие,110350.0000000
18/09/18 - Открытие,110370.0000000
18/09/18 - Открытие,110440.0000000
18/09/18 - Открытие,110450.0000000
18/09/18 - Открытие,110450.0000000
18/09/18 - Открытие,110490.0000000
18/09/18 - Открытие,110500.0000000
18/09/18 - Открытие,110510.0000000
18/09/18 - Открытие,110480.0000000
18/09/18 - Открытие,110460.0000000
18/09/18 - Открытие,110450.0000000
18/09/18 - Открытие,110480.0000000
18/09/18 - Открытие,110490.0000000
18/09/18 - Открытие,110460.0000000
18/09/18 - Открытие,110500.0000000
18/09/18 - Открытие,110490.0000000
18/09/18 - Открытие,110480.0000000
18/09/18 - Открытие,110440.0000000
18/09/18 - Открытие,110400.0000000
18/09/18 - Открытие,110330.0000000
18/09/18 - Открытие,110410.0000000
18/09/18 - Открытие,110420.0000000
18/09/18 - Открытие,110470.0000000
18/09/18 - Открытие,110490.0000000
18/09/18 - Открытие,110430.0000000
18/09/18 - Открытие,110410.0000000
18/09/18 - Открытие,110410.0000000
18/09/18 - Открытие,110410.0000000
18/09/18 - Открытие,110400.0000000
18/09/18 - Открытие,110430.0000000
18/09/18 - Открытие,110430.0000000
18/09/18 - Открытие,110510.0000000
18/09/18 - Открытие,110560.0000000
18/09/18 - Открытие,110600.0000000
18/09/18 - Открытие,110500.0000000
18/09/18 - Открытие,110470.0000000
18/09/18 - Открытие,110440.0000000
18/09/18 - Открытие,110460.0000000
18/09/18 - Открытие,110460.0000000
18/09/18 - Открытие,110420.0000000
18/09/18 - Открытие,110380.0000000
18/09/18 - Открытие,110360.0000000
18/09/18 - Открытие,110360.0000000
18/09/18 - Открытие,110430.0000000
18/09/18 - Открытие,110440.0000000
18/09/18 - Открытие,110380.0000000
18/09/18 - Открытие,110440.0000000
18/09/18 - Открытие,110440.0000000
18/09/18 - Открытие,110420.0000000
18/09/18 - Открытие,110400.0000000
18/09/18 - Открытие,110360.0000000
18/09/18 - Открытие,110380.0000000
18/09/18 - Открытие,110370.0000000
18/09/18 - Открытие,110380.0000000
18/09/18 - Открытие,110320.0000000
18/09/18 - Открытие,110350.0000000
18/09/18 - Открытие,110310.0000000
18/09/18 - Открытие,110340.0000000
18/09/18 - Открытие,110310.0000000
18/09/18 - Открытие,110300.0000000
18/09/18 - Открытие,110280.0000000
18/09/18 - Открытие,110280.0000000
18/09/18 - Открытие,110280.0000000
18/09/18 - Открытие,110290.0000000
18/09/18 - Открытие,110310.0000000
18/09/18 - Открытие,110280.0000000
18/09/18 - Открытие,110320.0000000
18/09/18 - Открытие,110290.0000000
18/09/18 - Открытие,110320.0000000
18/09/18 - Открытие,110340.0000000
18/09/18 - Открытие,110330.0000000
18/09/18 - Открытие,110330.0000000
18/09/18 - Открытие,110330.0000000
18/09/18 - Открытие,110300.0000000
18/09/18 - Открытие,110280.0000000
18/09/18 - Открытие,110330.0000000
18/09/18 - Открытие,110280.0000000
18/09/18 - Открытие,110240.0000000
18/09/18 - Открытие,110250.0000000
18/09/18 - Открытие,110240.0000000
18/09/18 - Открытие,110230.0000000
18/09/18 - Открытие,110240.0000000
18/09/18 - Открытие,110220.0000000
18/09/18 - Открытие,110230.0000000
18/09/18 - Открытие,110230.0000000
18/09/18 - Открытие,110260.0000000
18/09/18 - Открытие,110260.0000000
18/09/18 - Открытие,110200.0000000
18/09/18 - Открытие,110220.0000000
18/09/18 - Открытие,110200.0000000
18/09/18 - Открытие,110190.0000000
18/09/18 - Открытие,110180.0000000
18/09/18 - Открытие,110200.0000000
18/09/18 - Открытие,110200.0000000
18/09/18 - Открытие,110180.0000000
18/09/18 - Открытие,110230.0000000
18/09/18 - Открытие,110180.0000000
18/09/18 - Открытие,110190.0000000
18/09/18 - Открытие,110140.0000000
18/09/18 - Открытие,110140.0000000
18/09/18 - Открытие,110140.0000000
18/09/18 - Открытие,110150.0000000
18/09/18 - Открытие,110130.0000000
18/09/18 - Открытие,110140.0000000
18/09/18 - Открытие,110160.0000000
18/09/18 - Открытие,110200.0000000
18/09/18 - Открытие,110200.0000000
18/09/18 - Открытие,110180.0000000
18/09/18 - Открытие,110180.0000000
18/09/18 - Открытие,110150.0000000
18/09/18 - Открытие,110140.0000000
18/09/18 - Открытие,110130.0000000
18/09/18 - Открытие,110130.0000000
18/09/18 - Открытие,110100.0000000
18/09/18 - Открытие,110090.0000000
18/09/18 - Открытие,110060.0000000
18/09/18 - Открытие,110060.0000000
18/09/18 - Открытие,110150.0000000
18/09/18 - Открытие,110110.0000000
18/09/18 - Открытие,110060.0000000
18/09/18 - Открытие,110110.0000000
18/09/18 - Открытие,110080.0000000
18/09/18 - Открытие,110110.0000000
18/09/18 - Открытие,110120.0000000
18/09/18 - Открытие,110170.0000000
18/09/18 - Открытие,110170.0000000
18/09/18 - Открытие,110180.0000000
18/09/18 - Открытие,110160.0000000
18/09/18 - Открытие,110170.0000000
18/09/18 - Открытие,110150.0000000
18/09/18 - Открытие,110130.0000000
18/09/18 - Открытие,110140.0000000
18/09/18 - Открытие,110170.0000000
18/09/18 - Открытие,110190.0000000
18/09/18 - Открытие,110200.0000000
18/09/18 - Открытие,110210.0000000
18/09/18 - Открытие,110250.0000000
18/09/18 - Открытие,110240.0000000
18/09/18 - Открытие,110250.0000000
18/09/18 - Открытие,110250.0000000
18/09/18 - Открытие,110280.0000000
18/09/18 - Открытие,110270.0000000
18/09/18 - Открытие,110270.0000000
18/09/18 - Открытие,110260.0000000
18/09/18 - Открытие,110250.0000000
18/09/18 - Открытие,110240.0000000
18/09/18 - Открытие,110270.0000000
18/09/18 - Открытие,110300.0000000
18/09/18 - Открытие,110300.0000000
18/09/18 - Открытие,110300.0000000
18/09/18 - Открытие,110350.0000000
18/09/18 - Открытие,110310.0000000
18/09/18 - Открытие,110340.0000000
18/09/18 - Открытие,110340.0000000
18/09/18 - Открытие,110350.0000000
18/09/18 - Открытие,110350.0000000
18/09/18 - Открытие,110350.0000000
18/09/18 - Открытие,110340.0000000
18/09/18 - Открытие,110330.0000000
18/09/18 - Открытие,110360.0000000
18/09/18 - Открытие,110360.0000000
18/09/18 - Открытие,110330.0000000
18/09/18 - Открытие,110360.0000000
18/09/18 - Открытие,110360.0000000
18/09/18 - Открытие,110370.0000000
18/09/18 - Открытие,110370.0000000
18/09/18 - Открытие,110370.0000000
18/09/18 - Открытие,110390.0000000
18/09/18 - Открытие,110390.0000000
18/09/18 - Открытие,110370.0000000
18/09/18 - Открытие,110390.0000000
18/09/18 - Открытие,110370.0000000
18/09/18 - Открытие,110370.0000000
18/09/18 - Открытие,110350.0000000
18/09/18 - Открытие,110360.0000000
18/09/18 - Открытие,110340.0000000
18/09/18 - Открытие,110330.0000000
18/09/18 - Открытие,110360.0000000
18/09/18 - Открытие,110370.0000000
18/09/18 - Открытие,110380.0000000
18/09/18 - Открытие,110360.0000000
18/09/18 - Открытие,110370.0000000
18/09/18 - Открытие,110350.0000000
18/09/18 - Открытие,110350.0000000
18/09/18 - Открытие,110330.0000000
18/09/18 - Открытие,110350.0000000
18/09/18 - Открытие,110340.0000000
18/09/18 - Открытие,110320.0000000
18/09/18 - Открытие,110310.0000000
18/09/18 - Открытие,110320.0000000
18/09/18 - Открытие,110300.0000000
18/09/18 - Открытие,110320.0000000
18/09/18 - Открытие,110320.0000000
18/09/18 - Открытие,110290.0000000
18/09/18 - Открытие,110300.0000000
18/09/18 - Открытие,110280.0000000
18/09/18 - Открытие,110290.0000000
18/09/18 - Открытие,110290.0000000
18/09/18 - Открытие,110260.0000000
18/09/18 - Открытие,110260.0000000
18/09/18 - Открытие,110250.0000000
18/09/18 - Открытие,110270.0000000
18/09/18 - Открытие,110280.0000000
18/09/18 - Открытие,110230.0000000
18/09/18 - Открытие,110260.0000000
18/09/18 - Открытие,110230.0000000
18/09/18 - Открытие,110270.0000000
18/09/18 - Открытие,110250.0000000
18/09/18 - Открытие,110270.0000000
18/09/18 - Открытие,110280.0000000
18/09/18 - Открытие,110240.0000000
18/09/18 - Открытие,110260.0000000
18/09/18 - Открытие,110220.0000000
18/09/18 - Открытие,110240.0000000
18/09/18 - Открытие,110240.0000000
18/09/18 - Открытие,110300.0000000
18/09/18 - Открытие,110300.0000000
18/09/18 - Открытие,110310.0000000
18/09/18 - Открытие,110310.0000000
18/09/18 - Открытие,110290.0000000
18/09/18 - Открытие,110290.0000000
18/09/18 - Открытие,110310.0000000
18/09/18 - Открытие,110310.0000000
18/09/18 - Открытие,110270.0000000
18/09/18 - Открытие,110300.0000000
18/09/18 - Открытие,110270.0000000
18/09/18 - Открытие,110230.0000000
18/09/18 - Открытие,110200.0000000
18/09/18 - Открытие,110260.0000000
18/09/18 - Открытие,110280.0000000
18/09/18 - Открытие,110240.0000000
18/09/18 - Открытие,110220.0000000
18/09/18 - Открытие,110170.0000000
18/09/18 - Открытие,110220.0000000
18/09/18 - Открытие,110230.0000000
18/09/18 - Открытие,110240.0000000
18/09/18 - Открытие,110210.0000000
18/09/18 - Открытие,110210.0000000
18/09/18 - Открытие,110230.0000000
18/09/18 - Открытие,110230.0000000
18/09/18 - Открытие,110210.0000000
18/09/18 - Открытие,110240.0000000
18/09/18 - Открытие,110200.0000000
18/09/18 - Открытие,110200.0000000
18/09/18 - Открытие,110240.0000000
18/09/18 - Открытие,110250.0000000
18/09/18 - Открытие,110240.0000000
